מזהה,סוג פרק,שם הדמות/הנושא,שנים/תקופה,אזור/מרחב,תקופה,תחום עיקרי,תגיות,תקציר (2–3 שורות),רעיון מרכזי/חידוש,דמויות/השפעות קשורות,קישור ספוטיפיי
193,חיבור,ספר הכוזרי,1139,ספרד / אל־אנדלוס,תור הזהב של ספרד,הגות ואמונה,"רבי יהודה הלוי, אמונה, סיני, ארץ ישראל","אחד מחיבורי היסוד של המחשבה היהודית, שנכתב בידי רבי יהודה הלוי בערבית יהודית. מציג הגנה מקורית על היהדות דרך ההיסטוריה, ההתגלות הלאומית והקשר בין עם, מצוות וארץ.","ביסוס האמונה היהודית על זיכרון היסטורי לאומי והתגלות ציבורית, ולא רק על הוכחה פילוסופית מופשטת.","רבי יהודה הלוי; הרמב""ם; הרב קוק; ביאליק",https://open.spotify.com/episode/0E55prQ6VaFsIXKSiCpDe3?si=XrQKU-Z0TgKEvgDDjH-MFQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
194,דמות מקראית,אסתר המלכה,התקופה הפרסית,"שושן הבירה, פרס",מקרא / ראשית בית שני,"מנהיגות, מגילה וזהות לאומית","פורים, מגילת אסתר, הסתר פנים, הנהגה נשית","דמות מקראית מרכזית שהפכה מאישה נסתרת בארמון זר למנהיגה המצילה את עמה. סיפורה מציג הנהגה הפועלת מתוך הסתר, תבונה, תזמון ואחריות לאומית.","מודל של הנהגה מתוך הסתר פנים – פעולה חכמה, איטית ומתוזמנת בתוך מערכות כוח קיימות לשם הצלת הכלל.",מרדכי; אחשוורוש; המן; חג הפורים,https://open.spotify.com/episode/4WssFuGXzvEgr2GstxIHfx?si=kSm4lN-zTlybZtLShb4GwA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
195,דמות היסטורית,הלני המלכה,המאה ה־1 לספירה,חדייב וירושלים,ימי הבית השני,"מלוכה, צדקה והלכה","חדייב, ירושלים, גיור, בית המקדש","מלכת חדייב שבחרה לקשור את גורלה בעם ישראל ובירושלים. נודעה בגיורה, בנדיבותה בשנות הרעב, בתרומותיה למקדש ובמעמדה בספרות חז""ל.","הפיכת כוח מלכותי זר למחויבות עמוקה לתורה, לחסד ולחיי ירושלים, עד כדי השתלבות בעולמה ההלכתי והרוחני של האומה.","איזטס; מונבז; יוסף בן מתתיהו; חז""ל",https://open.spotify.com/episode/5M7imLXlORpy1YE9QyPA25?si=nmmMsJV3SNmRvD3GN07z_w&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
196,דמות מקראית,חולדה הנביאה,"המאה ה־7 לפנה""ס",ירושלים,ימי בית ראשון,"נבואה, מקדש וקנון התורה","יאשיהו, ספר התורה, נביאה, בית המקדש","נביאה בירושלים בימי המלך יאשיהו, שאליה פנו המלך והכהן הגדול לאחר גילוי ספר התורה במקדש. אישורה הנבואי מציב אותה בנקודת מעבר בין נבואה חיה לסמכות התורה הכתובה.","אישור סמכותו של הטקסט המקודש מתוך נבואה, והצבת דמות נשית כסמכות רוחנית עליונה ברגע מכריע.",המלך יאשיהו; ירמיהו; צפניה; ספר מלכים,https://open.spotify.com/episode/6NbBfNFBopFpH9DywPQzS1?si=f1UZHurBSPWgKeD5wUd1-w&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
197,חכם,"הרא""ם ממיץ",המאה ה־12,צרפת ואשכנז,בעלי התוספות,"הלכה, מצוות ומוסר","ספר יראים, רבנו תם, יראת שמים, מצוות","מגדולי הראשונים בצרפת ואשכנז, תלמידם של רבנו תם והרשב""ם. בספרו 'ספר יראים' הציג את המצוות לא רק כמערכת דינים אלא כדרך לעיצוב האדם.","סידור המצוות כמבנה רוחני־מוסרי כולל, שבו ההלכה נועדה לעצב את נפש האדם ולא רק להכריע בדין.","רבנו תם; הרשב""ם; רבי חיים כהן מפריז; רבי אלעזר מגרמייזא; האור זרוע",https://open.spotify.com/episode/6J1axbvjzcVZFeEI2lU1IV?si=wAeaI5T6TDSElvMR_MhZ1w&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
198,חכם,רבי יצחק בן יעקב הלבן מפראג,המאה ה־12,"פראג, רגנסבורג, צרפת ואשכנז",ראשוני בעלי התוספות,"תלמוד, תוספות ופיוט","רבנו תם, פראג, תוספות ישנים, פיוט","מן הדמויות הבולטות בדור הראשונים בבוהמיה ואשכנז, שלמד אצל רבנו תם והריב""א. יצר גשר בין המרכזים התורניים של צרפת ואשכנז וביסס את פראג כמרכז תורה חשוב.","שילוב בין חריפות התוספות הצרפתית לבין פסיקה אשכנזית מעשית, תוך יצירת רשת השפעה בין־אירופית.","רבנו תם; הריב""א; פתחיה מרגנסבורג; האור זרוע; המרדכי; הטור",https://open.spotify.com/episode/5evpNS9R4Cq5EESziQyspA?si=nWAdF8wJRRCeg3TWLlZ6qw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
199,חכם,"הרב אליעזר בן נתן (ראב""ן)",1090–1170 בקירוב,"מגנצא, אשכנז",ראשוני אשכנז,"הלכה, זיכרון היסטורי ופסיקה","אבן העזר, גזרות תתנ""ו, אשכנז, מנהג","מעמודי התווך של יהדות אשכנז במאה ה־12, שחווה בילדותו את זוועות מסעי הצלב והפך גם לפוסק חשוב וגם למתעד מרכזי של החורבן.","הפיכת זיכרון החורבן ליסוד של בנייה הלכתית ורוחנית, תוך נאמנות עמוקה למסורת הראשונים ולמנהגי אשכנז.","רבנו תם; הרשב""ם; הרא""ש; בעל הטורים",https://open.spotify.com/episode/5QGbbhxhb2hremjTS5I9E8?si=wQyrfYb9SgeVnHb998KX6w&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
200,דמות מקראית,אביגיל,תקופת דוד,"כרמל, יהודה",ראשית המלוכה בישראל,"מנהיגות, נבואה ומוסר","דוד, נבל הכרמלי, נביאה, הנהגה נשית","מן הדמויות המרשימות בתנ""ך, שבלמה את דוד בשעת כעס ומנעה שפיכות דמים. בנאום קצר ומדויק החזירה אותו אל ייעודו המוסרי והמלכותי.",כוחו של דיבור מוסרי ומפוכח לעצור מנהיג ברגע של סכנה ולהשיבו אל ייעודו ואל אחריותו ההיסטורית.,דוד המלך; נבל הכרמלי; ספר שמואל,https://open.spotify.com/episode/685JbRdiP4dZzM9Mxg4VSd?si=xaFj3HqLQnenEGLFUzp0ew&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
201,חכם,ר״י הזקן מדמפייר,1115–1190,"דמפייר, צרפת",בעלי התוספות,"תלמוד, תוספות והנהגה","דמפייר, תוספות, רבנו תם, שיטת חילוקים","מגדולי בעלי התוספות ומנהיג מרכזי לאחר רבנו תם. בישיבתו בדמפייר יצר מודל לימוד קולקטיבי, שבו כל הש״ס נתפס כמערכת אחת הרמונית.",בניית שיטת לימוד קולקטיבית־השוואתית המיישבת סתירות בין סוגיות ומעצבת את התלמוד כגוף אחד חי.,רבנו תם; הריצב״א; בעל האור זרוע; הר״ש משאנץ; בעל התרומה,https://open.spotify.com/episode/6eSJxUuvK7zTeZR5ODaTfi?si=aqBw9SKaR5ys4TN1JpT5IA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
202,חכם,הרשב״ם,1085–1158 לערך,צרפת,בעלי התוספות,פרשנות מקרא ותלמוד,"פשוטו של מקרא, רש״י, תוספות, פרשנות","נכדו הבכור של רש״י ומגדולי בעלי התוספות, שהדגיש בפירושו לתורה את פשוטו של מקרא ואת ההקשר הלשוני והסיפורי של הפסוקים.","הארת פשוטו של מקרא כרובד עצמאי בתוך שלמות התורה, בלי לגרוע מתוקפה של התורה שבעל פה.",רש״י; רבנו תם; ר״י הזקן; בעלי התוספות,https://open.spotify.com/episode/5BCGheSFuMCKwGBnlNLHSz?si=zEjQ73uoR1e_eTUEg9XwNA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
203,חכם,רבי סעדיה שוראקי,1603–1704,"תלמסאן, אלג׳יריה",העת החדשה המוקדמת,"הלכה, מדע ומתמטיקה","תלמסאן, מונה מספר, מתמטיקה, שבתאות","מגדולי חכמי תלמסאן, שפעל כפוסק, פייטן ומנהיג קהילה לצד עיסוק מדעי בולט. בספרו 'מונה מספר' הנגיש מתמטיקה בעברית לצרכים הלכתיים וקהילתיים.","שילוב המדע והמתמטיקה ככלים לעבודת ה׳ ולניהול קהילה, מתוך נאמנות להלכה ולרציונליזם יהודי.",קהילת תלמסאן; רבי אפרים אנקווה; אנדרה שוראקי,https://open.spotify.com/episode/6NTm83GThq84iPCuaL50gA?si=s-s9uHRwSeaUvLc9qfyY-w&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
204,חכם,רבי יהונתן הכהן מלוניל,1135 בערך–1211,"לוניל, פרובנס ועכו",ראשוני פרובנס,"הלכה, פרשנות והפצת הרמב״ם","פרובנס, הרי״ף, הרמב״ם, עליית שלוש מאות הרבנים","מגדולי חכמי פרובנס, שפירושו לרי״ף הנגיש את הלימוד לדורות של תלמידים באירופה. היה מן הראשונים שזיהו את עומק שיטת הרמב״ם והתכתב עמו.","יצירת גשר בין אשכנז, ספרד ופרובנס, תוך הפצת שיטת הרמב״ם והנגשת הרי״ף והמשנה ללומדי אירופה.",הרמב״ם; הרי״ף; חכמי לוניל; עליית שלוש מאות הרבנים,https://open.spotify.com/episode/2PHGW9Z6HiOIHqumtWFHNl?si=zCvJSlgZSlSK3n7CHYfwgg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
205,חכם,הריצב״א,המאה ה־12–13,צרפת,בעלי התוספות,"תלמוד, תוספות וסוד","ר״י הבחור, רבנו תם, ר״י הזקן, מעשה מרכבה",מן הדמויות המרכזיות בדור שלאחר רבנו תם בעולם התוספות. שילב עצמאות למדנית ושימוש רחב בירושלמי עם מוניטין של איש חזיונות וסודות הבריאה.,"חיבור נדיר בין חריפות דיאלקטית תלמודית לבין עומק מיסטי, כגשר בין אשכנז, ספרד ועולמות הסוד.",רבנו תם; ר״י הזקן; הרמב״ם; רבי יהודה בר יקר; רבי יחיאל מפאריס,https://open.spotify.com/episode/0fIS5dc7OCTq1C6amM82LT?si=tqcgKwdFQPuRVDKuMbTmkQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
206,חכם,רבי אלעזר מגרמייזא (בעל הרוקח),1160–1238 בקירוב,"וורמייזא, אשכנז",חסידי אשכנז,"הלכה, קבלה ותפילה","הרוקח, חסידי אשכנז, תפילה, גימטריה","מגדולי חכמי אשכנז, פוסק ומקובל שתורתו צמחה מתוך טרגדיה אישית קשה. בספר הרוקח שילב הלכה, מנהג, מוסר וסוד.","ראיית התפילה והמצווה כמבנים רוחניים מדויקים של אותיות ומשמעויות, תוך חיבור בין הלכה קפדנית לחוויה מיסטית.",רבי יהודה החסיד; ספר הרוקח; רבי יצחק מווינה; חסידי אשכנז,https://open.spotify.com/episode/1xnTTOc3bgPDd10LUBerVb?si=dXsPDQEQQJuMMb0x15nrlA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
207,דמות היסטורית,שלומציון המלכה,76–67 לפנה״ס,ממלכת יהודה,ימי הבית השני,"מלוכה, הנהגה ומדיניות","חשמונאים, שמעון בן שטח, פרושים, צדוקים","מלכת יהודה בתקופה החשמונאית, שהשיבה יציבות לממלכה שסועה באמצעות פיוס פנימי, חיזוק חכמי התורה וביצור מדיני.","שילוב בין הנהגה רוחנית־תורנית לבין ריאליזם מדיני, תוך בניית מוסדות וחיזוק החברה במקום הסתמכות על מלחמות כיבוש.",שמעון בן שטח; אלכסנדר ינאי; הורקנוס השני; אריסטובולוס השני,https://open.spotify.com/episode/1K7M9BQXbRu0lrv4M2gtNu?si=_BjEGP_5TkWDmooM6iq08A&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
208,דמות מקראית,חנה הנביאה,תקופת המשכן בשילה,שילה,תקופת השופטים,"תפילה, נבואה ומלכות","שמואל, תפילת העמידה, ה׳ צבאות, משיח","דמות מקראית מהפכנית, שהפכה את התפילה מעבודה חיצונית לשפיכת נפש פנימית לפני ה׳. תפילתה ושירתה נעשו מקור יסוד להלכות תפילה.","כינון התפילה הפנימית כעבודת לב, והפיכת כאב אישי לנבואה לאומית על מלכות, היסטוריה ותיקון העולם.",שמואל הנביא; עלי הכהן; אלקנה; פנינה,https://open.spotify.com/episode/2olkESl0VSSrcsibuXGG6I?si=iTH3BgW8TM2iBFmMjZ5_RA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
209,חכם,רבי משולם מבדרש,1160–1238/1250,"בדרש / בזייה, פרובאנס",ראשוני פרובנס,הלכה ופולמוס אמוני,"בעל ההשלמה, רמב״ם, ספר הבהיר, פרובאנס","מגדולי חכמי פרובאנס ומחבר 'ספר ההשלמה', שביקש להשלים ולעדכן את הרי״ף. הגן על הרמב״ם אך נאבק בחיבורים קבליים מוקדמים שנראו לו כמסכנים את טוהר האמונה.","איחוד למדנות עמוקה, נאמנות למסורת ואומץ אינטלקטואלי במאבק על טוהר האמונה ועל דרך ההלכה הפרובנסלית.",הרמב״ם; הרי״ף; הרמב״ן; המאירי; חכמי לוניל; ספר הבהיר,https://open.spotify.com/episode/5LmJs1gNXoe2H539PdAfrl?si=9YCUMN5BQIyv9Z9dzAYCfA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
210,חכם,רבי יהודה בן ברכיה,המאות ה־12–13,פרובאנס,ראשוני פרובנס,"הלכה, תלמוד ופירוש הרי״ף","שיטת ריב״ב, הרי״ף, גאונים, רמב״ם","מחכמי פרובאנס שיצר פירוש רחב על הלכות הרי״ף. שיטתו שילבה פשט, ביקורת על הרי״ף, מסורת גאונים והשוואה לפסקי הרמב״ם.","הפיכת פרובאנס לגשר חי בין מסורת הגאונים, הרי״ף, הרמב״ם ובעלי התוספות.",הרי״ף; בעל המאור; רב האי גאון; ר״י אבן גיאת; הרמב״ם; הרמב״ן; הרשב״א,https://open.spotify.com/episode/647NStP3Z8X3LRqObcCXUZ?si=KByF2c3MQAKtqw4L_2KQFg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
211,חכם,רבינו מנוח מנרבונה,סוף המאה ה־13–ראשית המאה ה־14,"נרבונה ולוניל, פרובאנס",ראשונים מאוחרים בפרובאנס,פרשנות הרמב״ם והלכה,"ספר המנוחה, משנה תורה, רמב״ם, ראב״ד","מן המפרשים החשובים על משנה תורה לרמב״ם. בספרו 'ספר המנוחה' ביקש ליישב את פסקי הרמב״ם עם התלמוד, הירושלמי, מדרשי ההלכה והשגות הראב״ד.",הבאת הלומד ל'מנוחה' באמצעות פירוק סתירות והצגת שורשי פסיקת הרמב״ם במקורות חז״ל.,הרמב״ם; הראב״ד; רבי מאיר בן שמעון המעילי; רבי ראובן בן חיים; רבי יוסף קארו; החיד״א,https://open.spotify.com/episode/5ZEbOOmd6ZsVbEz1crhtgC?si=Jo_PSoPnQlab6O6a9Kn3Og&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8
212,חכם,רבי ראובן בן חיים מנרבון,נפטר לפני 1276,"נרבון, פרובאנס",המאה ה־13,"הלכה, תפילה ופילוסופיה","ספר התמיד, תפילה, רמב״ם, מאירי","חכם ופילוסוף פרובנסלי שפעל בצומת שבין בעלי התוספות, הרמב״ם והמסורת ההלכתית של הראב״ד. חיבורו 'ספר התמיד' שילב הלכה, ליטורגיה ופילוסופיה.","הפיכת סדר התפילה והיום היהודי למרחב עיוני המחבר הלכה, פירוש תפילה ומחשבה מיימונית.",הראב״ד; רבי יצחק הכהן מנרבון; המאירי; ארחות חיים; כלבו; רבי דוד אבודרהם,https://open.spotify.com/episode/6Rb28PgOQeeq58bX2clspL?si=grMTWjtrSuClWSyf68Q-Kg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
213,חכם,רבי נתן בן רבי מאיר מטרינקטיי,סוף המאה ה־12–ראשית המאה ה־13,"טרינקטיי / ארל, פרובאנס",ראשוני פרובנס,"הלכה, תוספות וקבלה מוקדמת","שער התפיסה, רמב״ן, הרי״ף, ראב״ד","מחכמי פרובאנס הגדולים, שחיבר בין הדיאלקטיקה של בעלי התוספות, השיטתיות הפרובנסלית וסמכות הרי״ף והראב״ד. השפיע עמוקות על הרמב״ן ועל מסורת הפסיקה.","יצירת מתודה למדנית המחברת בין צרפת, פרובאנס וספרד, ומשמשת יסוד לדרכו של הרמב״ן.",הריצב״א; הרמב״ן; רבי שמואל הסרדי; ספר התרומות; הראב״ד; רבי יצחק סגי נהור,https://open.spotify.com/episode/46wLVmOtDctapvhIXVcT8T?si=hAA8wRPjR4yQkWjgh8MbMw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
214,חכם,רבנו פרחיה בן ניסים,המאה ה־13,מצרים,דור שלאחר הרמב״ם,"הלכה, תלמוד ומורשת הרמב״ם","רמב״ם, הרי״ף, מצרים, פולמוס מיימוני","מחכמי מצרים הבולטים בדור שלאחר הרמב״ם, שכתב פירושים להלכות הרי״ף ועמד בחזית ההגנה על תורת הרמב״ם מול מתנגדיה.","שימור מורשת הרמב״ם והמשך שיטתו התלמודית, תוך אחריות ציבורית למסורת המיימונית.",הרמב״ם; רבי אברהם בן הרמב״ם; רבי חננאל בן שמואל; רבי שלמה פטיט מעכו,https://open.spotify.com/episode/3AjzdU1SkSoQHf4tQAoeJr?si=1jRNjqR6SHyJsGCfZIcKpQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
215,חכם,רבי דוד קמחי,1160–1235,"נרבונה, פרובאנס",ראשונים,פרשנות מקרא ודקדוק עברי,"רד״ק, פשט, דקדוק, ספר השורשים, פולמוס הרמב״ם","מגדולי פרשני המקרא והמדקדקים, שנודע כ'ראש המדקדקים'. הפך את תורת הדקדוק הספרדית המורכבת לשיטה בהירה ונגישה ללומדי התורה באירופה.","שילוב דיוק לשוני, פשט, הבנה היסטורית ונאמנות למסורת ככלי מרכזי להבנת עומק המקרא.",רבי יוסף קמחי; רבי משה קמחי; הרמב״ם; חכמי פרובאנס,https://open.spotify.com/episode/7t7Mwzw5zr9XQ4uPrDcKcz?si=Et0n7kpzSJqnYmQuaWnlWQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
216,חכם,רבי לוי בן גרשון,1288–1344,פרובאנס,ראשונים,"פילוסופיה, פרשנות, מתמטיקה ואסטרונומיה","רלב״ג, מלחמות ה׳, שכל, בחירה חופשית, מדע","מן ההוגים הנועזים בימי הביניים: פילוסוף, פרשן, מתמטיקאי ואסטרונום. ביקש להבין את התורה דרך השכל ואת השכל דרך התורה.","העמדת השכל ככלי מרכזי להשגת האמת, גם במחיר ניסוחים נועזים בסוגיות ידיעת ה׳, בחירה חופשית ונצחיות הנפש.",הרמב״ם; אריסטו; שפינוזה; לייבניץ,https://open.spotify.com/episode/0m3vCYb6YqsaSJvD0cZfXy?si=SnX5flLQTAqOUou12h90fw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
217,חכם,שמואל בן יצחק,1190–1256,"ברצלונה, ספרד",ראשונים,הלכה ודיני ממונות,"רבנו שמואל הסרדי, ספר התרומות, ממונות, משפט עברי",מגדולי חכמי ספרד במאה ה־13 ואחד ממעצבי המשפט העברי. חיבורו 'ספר התרומות' סידר לראשונה באופן שיטתי תחום שלם של דיני ממונות.,"הפיכת ההלכה המשפטית לשפה חיה, נגישה ושיטתית עבור דיין, סוחר וקהילה כלכלית ממשית.",הרמב״ן; רבי נתן בן מאיר מטרינקטיי; הטור; שולחן ערוך,https://open.spotify.com/episode/5Cdc9RvxyriLFWPFMRfciK?si=P9JIX4Q4TCCtqmGdnswLcA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
218,חכם,מימון בן יוסף (אב הרמב״ם),1110 בקירוב–1165/1170,"קורדובה, מרוקו, ארץ ישראל ומצרים",ראשונים,"הלכה, הנהגה, מדע וחינוך","רב מימון הדיין, איגרת הנחמה, רמב״ם, אנוסים","דיין ומנהיג שהיה החוליה המקשרת בין תור הזהב של ספרד לבין מהפכת הרמב״ם. הנהיג קהילות נרדפות, חיזק אנוסים ויצר בביתו הרמוניה בין תורה, מדע ושכל.","הנחת היסודות האנושיים, ההלכתיים והרעיוניים שמהם צמחה שיטת הרמב״ם.",הר״י מיגאש; הרי״ף; הרמב״ם; רבי אברהם בן הרמב״ם; משה הדרעי,https://open.spotify.com/episode/0N9JxxpJynDDTur8c5c0fd?si=H3uqUkfiSRSw3pYMwoKbnA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
219,חכם,רבי מאיר הלוי אבולעפיה,המאה ה־13,"טולדו, ספרד",ראשונים,"הלכה, מסורה והנהגה ציבורית","הרמ״ה, יד רמה, מסורת סייג לתורה, פולמוס הרמב״ם","פוסק, ראש ישיבה ונשיא בעל סמכות ציבורית בטולדו. עסק בפסיקה, בהנהגה, בפולמוס אמוני ובדיוק נוסח ספר התורה עד האות האחרונה.",שמירת המסורת ההלכתית והמסורת הטקסטואלית מול פילוסופיה קיצונית וערעור יסודות האמונה.,הרמב״ם; חכמי טולדו; בעלי המסורה; חכמי ספרד,https://open.spotify.com/episode/3DlGOty8LZ8KGhLiLcyqjs?si=qUZCJQNiTvi_JSDfbNgPTQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
220,חכם,רבי אהרן הלוי,1231–1303,"ברצלונה, טולדו ומונטפלייר",ראשונים,"הלכה, תלמוד וביקורת פסיקה","הרא״ה, בדק הבית, תורת הבית, שיטה קטלונית","תלמיד הרמב״ן ומעמודי השיטה הקטלונית, ששילבה עומק תוספתי עם בהירות ספרדית. בחיבורו 'בדק הבית' בחן מחדש את 'תורת הבית' של הרשב״א.","נאמנות למסורת אינה רק שימור, אלא בדיקה מחודשת ואחראית כדי לשמור את ההלכה חיה ומדויקת.",הרמב״ן; הרשב״א; הריטב״א; רבי קרשקש וידאל; רבי פנחס הלוי,https://open.spotify.com/episode/1VCc2NTp4Fx2MnomLuC2YQ?si=bWARJNFER7uSYu75cFYiWw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
221,חכם,רבי שלמה בן אברהם,1235–1310 בקירוב,"ברצלונה, ספרד",ראשונים,"הלכה, הנהגה קהילתית ופולמוס אמוני","רשב״א, תורת הבית, שו״ת, ברצלונה, פולמוס הפילוסופיה","מגדולי הפוסקים והמנהיגים בתולדות התורה. עמד בראש קהילת ברצלונה, הנהיג ציבור, עיצב דיני קהילה וכתב אלפי תשובות שהשפיעו על כל עולם ההלכה.","יצירת מרכז הלכתי מאוזן המחבר עומק תלמודי, אחריות ציבורית, גבולות אמונה והנהגה מעשית.",הרמב״ן; רבנו יונה; רבי יצחק מנרבונה; הריטב״א; רבנו בחיי; רבי יוסף קארו; אברהם אבולעפיה,https://open.spotify.com/episode/3fFSccuIPUhBryOySLd1mz?si=vVleiPsHQNK-DYsKMhH7LQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
222,חכם,רבי משה בן נחמן,1194–1270,"גירונה, ברצלונה וירושלים",ראשונים,"הלכה, פרשנות, קבלה והנהגה","רמב״ן, פירוש התורה, חידושים, ויכוח ברצלונה, ארץ ישראל","פוסק, מקובל, פרשן ומנהיג שעמד בחזית פולמוסים גדולים, ניצח בוויכוח ברצלונה ולבסוף עלה לירושלים החרבה כדי לבנות בה חיים יהודיים מחדש.","חיבור נגלה ונסתר, תורה וחיים, אמונה ומעשה — עד כדי קביעה שישיבת ארץ ישראל היא מצווה מחייבת בכל דור.",רש״י; הרמב״ם; הרשב״א; רבי אהרן הלוי; רבנו יונה; חכמי קטלוניה,https://open.spotify.com/episode/7tV3u16Il2EgLXbVNFs42V?si=Qu6b3mmHTPufiL5nrRRIyQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
223,חכם,נתן בן מאיר,המאה ה־12–13,טרינקטיי / פרובאנס,ראשונים,"הלכה, דיני ממונות וסינתזה למדנית","רבי נתן מטרינקטיי, שערי תפיסה, ממונות, רמב״ן",חכם מרכזי מפרובאנס שחיבר בין מסורות הלימוד של צפון צרפת וספרד. תורתו בדיני תפיסה וספקות בממונות השפיעה דרך תלמידיו וחיבוריהם.,יצירת סינתזה בין דיאלקטיקת בעלי התוספות לבין סדר ובהירות פרובנסלית־ספרדית.,הריצב״א; הרמב״ן; שמואל בן יצחק הסרדי; רבי מאיר המעילי; הראב״ד,https://open.spotify.com/episode/7ACSP0m0DZ6PtZJIPWd5SG?si=xmChzx9KQnGA-HASx_s75g&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
224,חכם,יחיאל בן יקותיאל,המאה ה־13,"רומא, איטליה",ראשונים,"מוסר, הלכה, רפואה ועריכת טקסטים","מעלות המידות, תניא רבתי, ירושלמי, רומא","חכם איטלקי ששילב תורה, רפואה, פילוסופיה ודקדוק טקסטואלי. מיוחסת לו תרומה מכרעת לשימור מסורת הירושלמי ולבניית ספרות מוסר שיטתית.","חיבור הלכה, מוסר ודיוק מדעי לתפיסה אחת של תיקון האדם כולו — גוף, נפש ושכל.",הרמב״ם; חסידי אשכנז; מסורת איטליה; כתב יד ליידן של הירושלמי,https://open.spotify.com/episode/1tRAsJRFk47EvwWKBYsRZc?si=wIR3RR1RT0qdwsZfGHbvvg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
225,חכם,צדקיה בן אברהם,המאה ה־13,"רומא, איטליה",ראשונים,"הלכה, מנהג, רפואה וקודיפיקציה","שיבולי הלקט, איטליה, אשכנז, מנהג, רפואה","פוסק איטלקי בן משפחת הענווים, שחיבר בין מסורת אשכנזית, פסיקה איטלקית וידע רפואי. ספרו 'שיבולי הלקט' סידר את אורח החיים היהודי בצורה נגישה ושיטתית.","קודיפיקציה הלכתית איטלקית המחברת מסורות מגוונות מתוך ענווה, סדר ואחריות ציבורית.",בעלי התוספות; חכמי איטליה; בעל הטורים; רבי יוסף קארו; משפחת הענווים,https://open.spotify.com/episode/0zmmVvmiG4Wzj6H3D3wwK7?si=E-xKUsSxTN-1W54Q2wJ2wA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
226,חכם,רבי שמחה משפיירא,המאה ה־12–13,אשכנז (שפיירא),ראשונים,"הלכה, הנהגה קהילתית","תקנות שו""ם, קהילה, חסידי אשכנז",פוסק ומנהיג שבנה מחדש את יהדות אשכנז לאחר מסעי הצלב. שילב הלכה עם בניין חברתי ועמד מאחורי תקנות קהילתיות מרכזיות.,ההלכה ככלי לבניית קהילה ולא רק לפסיקה פרטית,"רבי יצחק מווינה (אור זרוע); חסידי אשכנז; חכמי שו""ם",https://open.spotify.com/episode/6k54FCiujHgHTF3lHSwe0U?si=rG5xR4UrRZqDn58l76qG5g&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
227,חכם,רבי אשתורי הפרחי,המאה ה־14,ארץ ישראל,ראשונים,הלכה וגאוגרפיה,"כפתור ופרח, מצוות התלויות בארץ","חוקר שהלך את הארץ בפועל כדי להבין הלכה, ויצר מיפוי ראשון של ארץ ישראל מבחינה הלכתית.",חיבור תורה למציאות הפיזית של הארץ,"חז""ל; פוסקי ארץ ישראל; חקלאות הלכתית",https://open.spotify.com/episode/1aefmtAuxfRcdhiH7R2urg?si=E5QC33FpSDanWiMPnSOA3Q&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
